frame_count,timestamp,start_seconds,drone_latitude,drone_longitude,drone_x_m,drone_y_m,rel_alt_m,heading_deg,heading_source,camera_angle_deg,camera_angle_source,ground_distance_m,ground_x_m,ground_y_m,ground_latitude,ground_longitude
1594,2024-06-19 11:16:15.593,53.147,32.107104,35.205271,12.918785941874127,416.3348955666643,117.6,201.55042307260175,trajectory,60.0,fixed,67.8963916567,-12.020909675644557,353.1848236545475,32.10653671325208,35.205006521718914
1595,2024-06-19 11:16:15.626,53.181,32.107096,35.205268,12.635892818542715,415.44433964033743,117.6,201.1360899984749,trajectory,60.0,fixed,67.8963916567,-11.846486429536537,352.1155696668631,32.10652710798008,35.20500837142715
1596,2024-06-19 11:16:15.659,53.214,32.107096,35.205268,12.635892818542715,415.44433964033743,117.6,201.1360899984749,trajectory,60.0,fixed,67.8963916567,-11.846486429536537,352.1155696668631,32.10652710798008,35.20500837142715
1597,2024-06-19 11:16:15.693,53.247,32.107096,35.205268,12.635892818542715,415.44433964033743,117.6,201.1360899984749,trajectory,60.0,fixed,67.8963916567,-11.846486429536537,352.1155696668631,32.10652710798008,35.20500837142715
1598,2024-06-19 11:16:15.726,53.281,32.107089,35.205264,12.258701988433899,414.665103205244,117.6,200.59930500932754,trajectory,60.0,fixed,67.8963916567,-11.629305456008879,351.10974858949,32.106518072535614,35.205010674568754
1599,2024-06-19 11:16:15.759,53.314,32.107089,35.205264,12.258701988433899,414.665103205244,117.6,200.59930500932754,trajectory,60.0,fixed,67.8963916567,-11.629305456008879,351.10974858949,32.106518072535614,35.205010674568754
1600,2024-06-19 11:16:15.793,53.347,32.107089,35.205264,12.258701988433899,414.665103205244,117.6,200.59930500932754,trajectory,60.0,fixed,67.8963916567,-11.629305456008879,351.10974858949,32.106518072535614,35.205010674568754
1601,2024-06-19 11:16:15.826,53.381,32.107081,35.205261,11.975808865702325,413.7745472789171,117.6,200.1943148377717,trajectory,60.0,fixed,67.8963916567,-11.462370143476841,350.05193147625505,32.1065085700028,35.20501244486961
1602,2024-06-19 11:16:15.859,53.414,32.107081,35.205261,11.975808865702325,413.7745472789171,117.6,200.1943148377717,trajectory,60.0,fixed,67.8963916567,-11.462370143476841,350.05193147625505,32.1065085700028,35.20501244486961
1603,2024-06-19 11:16:15.893,53.447,32.107081,35.205261,11.975808865702325,413.7745472789171,117.6,200.1943148377717,trajectory,60.0,fixed,67.8963916567,-11.462370143476841,350.05193147625505,32.1065085700028,35.20501244486961
1604,2024-06-19 11:16:15.926,53.481,32.107073,35.205258,11.692915742970753,412.8839913518821,117.6,199.67391525372494,trajectory,60.0,fixed,67.8963916567,-11.165531940871878,348.9511252383953,32.10649868129212,35.205015592753156
1605,2024-06-19 11:16:15.959,53.514,32.107073,35.205258,11.692915742970753,412.8839913518821,117.6,199.67391525372494,trajectory,60.0,fixed,67.8963916567,-11.165531940871878,348.9511252383953,32.10649868129212,35.205015592753156
1606,2024-06-19 11:16:15.993,53.548,32.107073,35.205258,11.692915742970753,412.8839913518821,117.6,199.67391525372494,trajectory,60.0,fixed,67.8963916567,-11.165531940871878,348.9511252383953,32.10649868129212,35.205015592753156
1607,2024-06-19 11:16:16.026,53.581,32.107065,35.205255,11.41002262023918,411.9934354255553,117.6,199.3939904988837,trajectory,60.0,fixed,67.8963916567,-11.135802538218622,347.94965533783517,32.10648968493494,35.205015908024905
1608,2024-06-19 11:16:16.059,53.614,32.107065,35.205255,11.41002262023918,411.9934354255553,117.6,199.3939904988837,trajectory,60.0,fixed,67.8963916567,-11.135802538218622,347.94965533783517,32.10648968493494,35.205015908024905
1609,2024-06-19 11:16:16.094,53.648,32.107065,35.205255,11.41002262023918,411.9934354255553,117.6,199.3939904988837,trajectory,60.0,fixed,67.8963916567,-11.135802538218622,347.94965533783517,32.10648968493494,35.205015908024905
1610,2024-06-19 11:16:16.126,53.681,32.107058,35.205252,11.127129497507607,411.2141989904618,117.6,198.99865673226225,trajectory,60.0,fixed,67.8963916567,-10.976268352347258,347.0163812433527,32.10648130119111,35.205017599838946
1611,2024-06-19 11:16:16.160,53.714,32.107058,35.205252,11.127129497507607,411.2141989904618,117.6,198.99865673226225,trajectory,60.0,fixed,67.8963916567,-10.976268352347258,347.0163812433527,32.10648130119111,35.205017599838946
1612,2024-06-19 11:16:16.193,53.748,32.107058,35.205252,11.127129497507607,411.2141989904618,117.6,198.99865673226225,trajectory,60.0,fixed,67.8963916567,-10.976268352347258,347.0163812433527,32.10648130119111,35.205017599838946
1613,2024-06-19 11:16:16.226,53.781,32.10705,35.205249,10.844236374776035,410.32364306413496,117.6,198.77368736464743,trajectory,60.0,fixed,67.8963916567,-11.006921820008085,346.0395323870281,32.10647252600853,35.205017274767755
1614,2024-06-19 11:16:16.260,53.814,32.10705,35.205249,10.844236374776035,410.32364306413496,117.6,198.77368736464743,trajectory,60.0,fixed,67.8963916567,-11.006921820008085,346.0395323870281,32.10647252600853,35.205017274767755
1615,2024-06-19 11:16:16.294,53.848,32.10705,35.205249,10.844236374776035,410.32364306413496,117.6,198.77368736464743,trajectory,60.0,fixed,67.8963916567,-11.006921820008085,346.0395323870281,32.10647252600853,35.205017274767755
1616,2024-06-19 11:16:16.326,53.881,32.107042,35.205246,10.561343252044463,409.43308713780806,117.6,198.6631180785923,trajectory,60.0,fixed,67.8963916567,-11.165718977366325,345.106927864311,32.10646414827956,35.20501559076969
1617,2024-06-19 11:16:16.359,53.915,32.107042,35.205246,10.561343252044463,409.43308713780806,117.6,198.6631180785923,trajectory,60.0,fixed,67.8963916567,-11.165718977366325,345.106927864311,32.10646414827956,35.20501559076969
1618,2024-06-19 11:16:16.394,53.948,32.107042,35.205246,10.561343252044463,409.43308713780806,117.6,198.6631180785923,trajectory,60.0,fixed,67.8963916567,-11.165718977366325,345.106927864311,32.10646414827956,35.20501559076969
1619,2024-06-19 11:16:16.426,53.981,32.107034,35.205243,10.27845012931289,408.5425312114812,117.6,198.38694556491464,trajectory,60.0,fixed,67.8963916567,-11.138301117355812,344.1123925647398,32.10645521421696,35.20501588152819
1620,2024-06-19 11:16:16.460,54.015,32.107034,35.205243,10.27845012931289,408.5425312114812,117.6,198.38694556491464,trajectory,60.0,fixed,67.8963916567,-11.138301117355812,344.1123925647398,32.10645521421696,35.20501588152819
1621,2024-06-19 11:16:16.494,54.048,32.107034,35.205243,10.27845012931289,408.5425312114812,117.6,198.38694556491464,trajectory,60.0,fixed,67.8963916567,-11.138301117355812,344.1123925647398,32.10645521421696,35.20501588152819
1622,2024-06-19 11:16:16.526,54.081,32.107026,35.20524,9.995557006581317,407.6519752844462,117.6,198.27901458628665,trajectory,60.0,fixed,67.8963916567,-11.299785978653647,343.18160715193744,32.10644685282933,35.2050141690278
1623,2024-06-19 11:16:16.560,54.115,32.107026,35.20524,9.995557006581317,407.6519752844462,117.6,198.27901458628665,trajectory,60.0,fixed,67.8963916567,-11.299785978653647,343.18160715193744,32.10644685282933,35.2050141690278
1624,2024-06-19 11:16:16.594,54.148,32.107026,35.20524,9.995557006581317,407.6519752844462,117.6,198.27901458628665,trajectory,60.0,fixed,67.8963916567,-11.299785978653647,343.18160715193744,32.10644685282933,35.2050141690278
1625,2024-06-19 11:16:16.627,54.181,32.107018,35.205237,9.712663883249906,406.7614193581193,117.6,198.1723007697083,trajectory,60.0,fixed,67.8963916567,-11.462565693968202,342.2515003351341,32.10643849753764,35.20501244279585
1626,2024-06-19 11:16:16.660,54.215,32.107018,35.205237,9.712663883249906,406.7614193581193,117.6,198.1723007697083,trajectory,60.0,fixed,67.8963916567,-11.462565693968202,342.2515003351341,32.10643849753764,35.20501244279585
1627,2024-06-19 11:16:16.694,54.248,32.107018,35.205237,9.712663883249906,406.7614193581193,117.6,198.1723007697083,trajectory,60.0,fixed,67.8963916567,-11.462565693968202,342.2515003351341,32.10643849753764,35.20501244279585
1628,2024-06-19 11:16:16.727,54.282,32.10701,35.205234,9.429770759918496,405.8708634325006,117.6,197.79389874773648,trajectory,60.0,fixed,67.8963916567,-11.318953305060164,341.2225034403447,32.10642925390126,35.205013965763825
1629,2024-06-19 11:16:16.760,54.315,32.10701,35.205234,9.429770759918496,405.8708634325006,117.6,197.79389874773648,trajectory,60.0,fixed,67.8963916567,-11.318953305060164,341.2225034403447,32.10642925390126,35.205013965763825
1630,2024-06-19 11:16:16.795,54.348,32.10701,35.205234,9.429770759918496,405.8708634325006,117.6,197.79389874773648,trajectory,60.0,fixed,67.8963916567,-11.318953305060164,341.2225034403447,32.10642925390126,35.205013965763825
1631,2024-06-19 11:16:16.827,54.382,32.107002,35.205231,9.146877637186922,404.9803075061737,117.6,197.79389874773645,trajectory,60.0,fixed,67.8963916567,-11.601846427791706,340.3319475140178,32.10642125390126,35.205010965763826
